2025-08-10 11:10:04.369 [scheduling-1] INFO  [] [] c.greenhouse.service.impl.ScheduledTaskServiceImpl - High CO2 level alert: 1743.47 ppm
2025-08-10 11:10:04.420 [scheduling-1] INFO  [] [] c.g.service.impl.DeviceSimulationServiceImpl - Temperature too high (37.51°C), started cooling
2025-08-10 11:10:04.544 [scheduling-1] INFO  [] [] c.g.service.impl.DeviceSimulationServiceImpl - CO2 level too high (1743.47 ppm), started ventilation
2025-08-10 11:10:48.871 [scheduling-1] INFO  [] [] com.greenhouse.service.impl.AlertServiceImpl - 触发环境报警: 类型=TEMPERATURE, 参数值=39.93, 阈值=35.0, 级别=HIGH
2025-08-10 11:10:48.899 [scheduling-1] WARN  [] [] c.greenhouse.service.impl.ScheduledTaskServiceImpl - Critical high temperature alert: 39.93°C
2025-08-10 11:10:48.939 [scheduling-1] INFO  [] [] c.g.service.impl.DeviceSimulationServiceImpl - Temperature too high (39.93°C), started cooling
2025-08-10 11:10:48.967 [scheduling-1] INFO  [] [] c.g.service.impl.DeviceSimulationServiceImpl - Humidity too low (39.18%), started humidifying
2025-08-10 11:10:49.049 [scheduling-1] INFO  [] [] c.g.service.impl.DeviceSimulationServiceImpl - CO2 level too low (300.0 ppm), reduced ventilation
2025-08-10 11:11:04.345 [scheduling-1] INFO  [] [] com.greenhouse.service.impl.AlertServiceImpl - 触发环境报警: 类型=TEMPERATURE, 参数值=39.1, 阈值=35.0, 级别=HIGH
2025-08-10 11:11:04.352 [scheduling-1] WARN  [] [] c.greenhouse.service.impl.ScheduledTaskServiceImpl - Critical high temperature alert: 39.1°C
2025-08-10 11:11:04.370 [scheduling-1] INFO  [] [] com.greenhouse.service.impl.AlertServiceImpl - 触发环境报警: 类型=HUMIDITY, 参数值=20.58, 阈值=30.0, 级别=HIGH
2025-08-10 11:11:04.378 [scheduling-1] INFO  [] [] c.greenhouse.service.impl.ScheduledTaskServiceImpl - Low humidity alert: 20.58%
2025-08-10 11:11:04.568 [scheduling-1] INFO  [] [] c.g.service.impl.DeviceSimulationServiceImpl - Simulated device recovery for: FAN_003
2025-08-10 11:11:48.871 [scheduling-1] INFO  [] [] com.greenhouse.service.impl.AlertServiceImpl - 触发环境报警: 类型=TEMPERATURE, 参数值=39.58, 阈值=35.0, 级别=HIGH
2025-08-10 11:11:48.885 [scheduling-1] WARN  [] [] c.greenhouse.service.impl.ScheduledTaskServiceImpl - Critical high temperature alert: 39.58°C
2025-08-10 11:12:04.343 [scheduling-1] INFO  [] [] com.greenhouse.service.impl.AlertServiceImpl - 触发环境报警: 类型=TEMPERATURE, 参数值=37.85, 阈值=35.0, 级别=HIGH
2025-08-10 11:12:04.368 [scheduling-1] WARN  [] [] c.greenhouse.service.impl.ScheduledTaskServiceImpl - Critical high temperature alert: 37.85°C
2025-08-10 11:12:04.379 [scheduling-1] INFO  [] [] com.greenhouse.service.impl.AlertServiceImpl - 触发环境报警: 类型=HUMIDITY, 参数值=20.65, 阈值=30.0, 级别=HIGH
2025-08-10 11:12:04.384 [scheduling-1] INFO  [] [] c.greenhouse.service.impl.ScheduledTaskServiceImpl - Low humidity alert: 20.65%
2025-08-10 11:12:04.436 [scheduling-1] INFO  [] [] c.g.service.impl.DeviceSimulationServiceImpl - Temperature too high (37.85°C), started cooling
2025-08-10 11:12:04.475 [scheduling-1] INFO  [] [] c.g.service.impl.DeviceSimulationServiceImpl - Humidity too low (20.65%), started humidifying
2025-08-10 11:12:04.570 [scheduling-1] INFO  [] [] c.g.service.impl.DeviceSimulationServiceImpl - CO2 level too high (1116.84 ppm), started ventilation
